,Name,Actual Price,Sale Price,Discount %,Rating,Number of Reviews,Category,Sub-Category,Brand
70,Pretty Face & Christmas Card Wall Decor,8.99,4.49,50.0,0.0,0,Wall Decor,Pretty Face & Christmas Card Wall Decor,Open Road Brands
71,Merry Christmas Snoopy Wall Decor,6.99,3.49,50.0,0.0,0,Wall Decor,Merry Christmas Snoopy Wall Decor,Open Road Brands
72,Christmas Wreath Wood Wall Decor,19.99,9.99,50.0,0.0,0,Wall Decor,Christmas Wreath Wood Wall Decor,Hobby Lobby
73,Christmas Cow Canvas Wall Decor,22.99,11.49,50.0,0.0,0,Wall Decor,Christmas Cow Canvas Wall Decor,Hobby Lobby
74,Merry Christmas Arch Wood Wall Decor,36.99,18.49,50.0,0.0,0,Wall Decor,Merry Christmas Arch Wood Wall Decor,Hobby Lobby
75,Not Christmas Without Cookies Wood Decor,9.99,4.99,50.0,0.0,0,Tabletop Decor,Not Christmas Without Cookies Wood Decor,Hobby Lobby
76,Christmas Truck Round Wood Decor,5.49,2.74,50.0,0.0,0,Tabletop Decor,Christmas Truck Round Wood Decor,Hobby Lobby
77,Merry & Bright Glitter Tree Wood Decor,3.49,1.74,50.0,0.0,0,Tabletop Decor,Merry & Bright Glitter Tree Wood Decor,Hobby Lobby
78,Merry Christmas Glitter Tree Wood Decor,3.49,1.74,50.0,0.0,0,Tabletop Decor,Merry Christmas Glitter Tree Wood Decor,Hobby Lobby
79,Christmas Lights Gnome Wood Decor,5.99,2.99,50.0,0.0,0,Tabletop Decor,Christmas Lights Gnome Wood Decor,Hobby Lobby
80,Merry Christmas Stacked Books Wood Decor,9.99,4.99,50.0,0.0,0,Tabletop Decor,Merry Christmas Stacked Books Wood Decor,Hobby Lobby
81,Merry Christmas Stacked Books Wood Decor,7.49,3.74,50.0,0.0,0,Tabletop Decor,Merry Christmas Stacked Books Wood Decor,Hobby Lobby
82,Merry Christmas Ornament Wood Wall Decor,27.99,13.99,50.0,0.0,0,Wall Decor,Merry Christmas Ornament Wood Wall Decor,Hobby Lobby
83,Merry Christmas Poinsettia Metal Wall Decor,15.99,7.99,50.0,5.0,1,Wall Decor,Merry Christmas Poinsettia Metal Wall Decor,Hobby Lobby
84,Merry Christmas Wood Wall Decor,33.99,16.99,50.0,0.0,0,Wall Decor,Merry Christmas Wood Wall Decor,Hobby Lobby
85,Red & White Block Christmas Countdown Wood Decor,9.99,4.99,50.0,0.0,0,Advent & Countdown Calendars,Red & White Block Christmas Countdown Wood Decor,Hobby Lobby
86,Merry Little Christmas Wood Wall Decor,9.99,4.99,50.0,0.0,0,Tabletop Decor,Merry Little Christmas Wood Wall Decor,Hobby Lobby
87,Merry Christmas Wood Wall Decor,8.99,4.49,50.0,0.0,0,Tabletop Decor,Merry Christmas Wood Wall Decor,Hobby Lobby
88,Farm Fresh Christmas Trees Wood Decor,2.49,1.24,50.0,0.0,0,Tabletop Decor,Farm Fresh Christmas Trees Wood Decor,Hobby Lobby
89,Red & White Merry Christmas Jumbo Tree Decor,6.99,3.49,50.0,0.0,0,Wall Decor,Red & White Merry Christmas Jumbo Tree Decor,The Christmas Shoppe
90,Christmas Tree Wood Decor,1.99,0.99,50.0,0.0,0,Craft Supplies,Christmas Tree Wood Decor,Brother Sister Design Studio
91,Merry Christmas Metal Wall Decor,15.99,7.99,50.0,0.0,0,Wall Decor,Merry Christmas Metal Wall Decor,Hobby Lobby
92,Merry Christmas Wood Wall Decor,2.49,1.24,50.0,0.0,0,Craft Ornaments,Merry Christmas Wood Wall Decor,Brother Sister Design Studio
93,Jingle Bells,6.99,3.49,50.0,5.0,1,Christmas Bells,Jingle Bells,Brother Sister Design Studio
94,"Blue, Gold & White Snowflakes Cotton Fabric",8.99,4.49,50.0,5.0,1,Christmas Fabric,"Blue, Gold & White Snowflakes Cotton Fabric",Hobby Lobby
95,Owl Pick,6.99,3.49,50.0,4.8,4,Tree Picks,Owl Pick,Hobby Lobby
96,Christmas Cookie Recipes Wood Book Decor,7.49,3.74,50.0,0.0,0,Tabletop Decor,Christmas Cookie Recipes Wood Book Decor,Hobby Lobby
97,Merry Christmas Buffalo Check Wood Wall Decor,10.99,5.49,50.0,0.0,0,Tabletop Decor,Merry Christmas Buffalo Check Wood Wall Decor,Hobby Lobby
98,Christmas Dogs In Truck Canvas Wall Decor,39.99,19.99,50.0,0.0,0,Wall Decor,Christmas Dogs In Truck Canvas Wall Decor,Hobby Lobby
99,Farm Fresh Wood Decor,9.99,4.99,50.0,0.0,0,Tabletop Decor,Farm Fresh Wood Decor,Hobby Lobby
100,Pine & Berry Star Wood Wall Decor,9.99,4.99,50.0,0.0,0,Wall Decor,Pine & Berry Star Wood Wall Decor,The Christmas Shoppe
101,Metallic Silver Christmas Tree,11.99,5.99,50.0,5.0,1,Decorative Trees,Metallic Silver Christmas Tree,Hobby Lobby
102,Merry Christmas Beaded Pillow With Tassels,39.99,19.99,50.0,0.0,0,Pillows,Merry Christmas Beaded Pillow With Tassels,Hobby Lobby
103,Christmas Charlie Brown Nutcracker,34.99,17.49,50.0,0.0,0,Nutcrackers,Christmas Charlie Brown Nutcracker,Ruz
104, Merry Christmas Sign Santa Claus,22.99,11.49,50.0,0.0,0,Animals & Figurines,Merry Christmas Sign Santa Claus,Hobby Lobby
105,Merry Christmas Metal Train,69.99,34.99,50.0,5.0,1,Tabletop Decor,Merry Christmas Metal Train,Hobby Lobby
106,White Snowy Tree,18.99,9.49,50.0,3.0,2,Decorative Trees,White Snowy Tree,Robert Stanley
107,Pinecone & Cardinal Snow Globe,39.99,19.99,50.0,0.0,0,Snow Globes,Pinecone & Cardinal Snow Globe,Hobby Lobby
108,Merry & Bright Decorative Wood Ladder,3.99,1.99,50.0,0.0,0,Mini Accessories,Merry & Bright Decorative Wood Ladder,My Little Christmas
109,Merry Christmas Decorative Wood Ladder,3.99,1.99,50.0,0.0,0,Mini Accessories,Merry Christmas Decorative Wood Ladder,My Little Christmas
110,Glitter Mesh Bow,5.99,2.99,50.0,0.0,0,Bows,Glitter Mesh Bow,Hobby Lobby
111,Buffalo Check Wired Edge Ribbon,7.99,3.99,50.0,0.0,0,Ribbon,Buffalo Check Wired Edge Ribbon,Hobby Lobby
112,White Blank Ball Ornaments,9.99,4.99,50.0,0.0,0,Craft Ornaments,White Blank Ball Ornaments,Brother Sister Design Studio
113,Taper Candles,7.99,3.99,50.0,1.0,1,Candles,Taper Candles,Hobby Lobby
114,"Metallic Mesh Wired Edge Ribbon - 10""",10.99,5.49,50.0,0.0,0,Deco Mesh,"Metallic Mesh Wired Edge Ribbon - 10""",Robert Stanley
115,"Natural Snowdrift Striped Deco Mesh Ribbon - 10""",9.99,4.99,50.0,0.0,0,Deco Mesh,"Natural Snowdrift Striped Deco Mesh Ribbon - 10""",Hobby Lobby
116,"Tinsel Lattice Ribbon - 4""",12.99,6.49,50.0,0.0,0,Ribbon,"Tinsel Lattice Ribbon - 4""",Robert Stanley
