,Name,Sale Price,Rating,Number of Reviews,Category,Sub-Category,Brand
87,"KatchOn, XtraLarge Orange Fringe Backdrop - 6.4x8 Feet, Pack of 2 Orange Backdrop | Orange Party Decorations | Thanksgiving Backdrop for Pumpkin Party Decorations | Thanksgiving Decorations for Door",12.97,4.5,9479.0,Electronics,Camera & Photo,KatchOn
88,Hugestar 61pcs Thanksgiving Hanging Decorations Fall Party Hanging Swirls Thanks Banner Balloons Cupcake Toppers Large Fall Leaves Cutouts for Autumn Thanksgiving Harvest Decor Party Supplies,5.99,0.0,0.0,Toys & Games,Party Supplies,Hugestar
89,"Artiflr 2 Pack Fall Garland Maple Leaf with 2Pcs 20LED String Light, 5.9Ft/Piece Hanging Vine Garland Artificial AutumnMaple Foliage Garland Thanksgiving Decor for Home Fireplace Party Christmas",15.99,4.2,849.0,Home & Kitchen,Seasonal Décor,Artiflr
90,"4 Pack Fall Decorations for Home, Fall Leaves Garland Fall Decor Thanksgiving Decorations, 5.8Ft Artificial Fall Garland Harvest Decorations Autumn Leaves Garland for Fall Home Porch Pumpkin Decor",19.99,4.2,30.0,Home & Kitchen,Seasonal Décor,iPartycool
91,"2 Pack Fall Decor Thanksgiving Decorations for Home Lighted Fall Garland, Total 16.4Ft 50LED Fall Halloween Decorations Maple Leaves String Lights Battery Operated Indoor Outdoor Autumn Harvest Decor",12.98,4.4,863.0,Home & Kitchen,Seasonal Décor,Donse
92,"Pellimo 2 Pack Thanksgiving Decorations Fall Leaves Garland with Lights,Total 20FT 40 Led Maple Leaf String Lights,Battery Operated Fall Lights for Indoor Outdoor Autumn Christmas Halloween Harvest",9.99,4.4,42.0,Home & Kitchen,Seasonal Décor,Pellimo
93,"JOHOUSE Natural Pine Cones, Christmas Rustic Pinecones Fall Garland Halloween Thanksgiving Decorations, Christmas Tree Fall Ornaments,18 PCS",8.99,4.3,2003.0,Home & Kitchen,Home Décor Products,Unknown
94,"41 Pcs Happy Thanksgiving Classroom Bulletin Board Decorations, Thanksgiving Cutouts, Autumn Paper Decoration for Fall Thanksgiving Theme Classroom Wall Decor, Thanksgiving Party Decorations",7.99,4.8,10.0,Office Products,Office & School Supplies,YQUQWN
95,HAKACC 14 PCS Artificial Lifelike Simulation Mixed Pumpkins Fake Pumpkins with 30PCS Fake Maple Leaves Festival Thanksgiving Fall Harvest Home Decoration,16.99,4.1,1292.0,Home & Kitchen,Home Décor Products,HAKACC
96,"2 Pack Fall Decor Maple Leaves Garland with Lights Battery Operated Fall Thanksgiving Decorations Garland for Home Porch Front Door Table Mantle Outdoor Autumn Harvest Halloween Decor, 11.8Ft 40LED",15.99,4.3,472.0,Home & Kitchen,Seasonal Décor,HINZER
