,Name,Actual Price,Sale Price,Discount %,Rating,Number of Reviews,Category,Sub-Category,Brand
800,Big Dot of Happiness Christmas Nutcracker - Holiday Party Decorations - Christmas Tree Ornaments - Set of 12,19.99,19.99,0.0,4.0,1,Christmas,Christmas Ornaments,Big Dot of Happiness
801,Big Dot of Happiness Very Merry Christmas - Holiday Santa Claus Decorations - Christmas Tree Ornaments - Set of 12,19.99,19.99,0.0,0.0,0,Christmas,Christmas Ornaments,Big Dot of Happiness
802,Big Dot of Happiness Christmas Gnomes - Holiday Party Decorations - Christmas Tree Ornaments - Set of 12,19.99,19.99,0.0,0.0,0,Christmas,Christmas Ornaments,Big Dot of Happiness
803,Big Dot of Happiness FA La Llama - Christmas and Holiday Party Decorations - Christmas Tree Ornaments - Set of 12,19.99,19.99,0.0,0.0,0,Christmas,Christmas Ornaments,Big Dot of Happiness
804,Big Dot of Happiness Tropical Christmas - Beach Santa Holiday Decorations - Christmas Tree Ornaments - Set of 12,19.99,19.99,0.0,0.0,0,Christmas,Christmas Ornaments,Big Dot of Happiness
805,Christmas Mrs Claus Gingerbread  -  One Figurine 12.0 Inches -  Iced Decorated House  -  2929461S  -  Polyresin  -  Brown,141.99,133.98,6.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,December Diamonds
806,Christmas Rainbow Trees Winter Blue S/12 Cody Foster  -  Decorative Figurines,48.99,46.98,4.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Cody Foster
807,Christmas Retro Candy Cane Snowman  -  One Figurine 9.75 Inches -  Decorated Tree  -  Tl1358  -  Polyresin  -  Off-White,100.99,94.98,6.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Bethany Lowe Designs
808,"Northlight 12"" Lighted Holographic Snowflake Christmas Window Decoration",33.99,29.99,12.0,0.0,0,Christmas,Christmas Decor Ideas,Northlight
809,"Northlight 21"" Lighted Glitter Rattan Owl Christmas Outdoor Decoration",84.09,66.99,20.0,0.0,0,Christmas,Christmas Decor Ideas,Northlight
810,"Northlight 30.5"" Lighted 2 Dimensional Santa Claus Christmas Outdoor Decoration",62.34,51.59,17.0,0.0,0,Christmas,Christmas Decor Ideas,Northlight
811,"Northlight 19"" Lighted Silver Glittered Berry Rattan Snowflake Christmas Window Decoration",72.49,59.99,17.0,0.0,0,Christmas,Christmas Decor Ideas,Northlight
812,"Northlight 18"" Lighted Champagne Gold Glittered Rattan Berry Hanging Star Christmas Window Decoration",50.74,41.99,17.0,0.0,0,Christmas,Christmas Decor Ideas,Northlight
813,Big Dot of Happiness Gingerbread Christmas - Gingerbread Man Holiday Party Decorations - Christmas Tree Ornaments - Set of 12,19.99,19.99,0.0,0.0,0,Christmas,Christmas Ornaments,Big Dot of Happiness
814,Big Dot of Happiness Snowy Christmas Trees - Classic Holiday Party Decorations - Christmas Tree Ornaments - Set of 12,19.99,19.99,0.0,0.0,0,Christmas,Christmas Ornaments,Big Dot of Happiness
815,Big Dot of Happiness Camper Christmas - Red and Green Holiday Decorations - Christmas Tree Ornaments - Set of 12,19.99,19.99,0.0,0.0,0,Christmas,Christmas Ornaments,Big Dot of Happiness
816,Big Dot of Happiness Christmas Village - Holiday Winter Houses Decorations - Christmas Tree Ornaments - Set of 12,19.99,19.99,0.0,0.0,0,Christmas,Christmas Ornaments,Big Dot of Happiness
817,Transpac Ceramic 9.84 in. Green Christmas Light Up Accent Snowman Decor,32.99,32.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
818,Christmas Red Glitter Tree Enesco  -  Decorative Figurines,37.99,35.98,5.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Enesco
819,Transpac Resin Red Christmas Light Up Round Santa Decor,33.99,33.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
820,Transpac Ceramic 9 in. Multicolored Christmas Light Up Tree Snowman Decor,24.99,24.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
