,Name,Actual Price,Sale Price,Discount %,Rating,Number of Reviews,Category,Sub-Category,Brand
110,"Northlight 18"" Purple and Gray Standing Gnome Christmas Decoration",$21.49,$18.99,12%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
111,"Northlight 23.5"" Brown and White Sitting Tabletop Gnome Christmas Decoration",$33.34,$27.59,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
112,Northlight 25-Inch Plush Red and Green Sitting Tabletop Gnome Christmas Decoration,$33.99,$29.99,12%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
113,"Northlight 13.5"" LED Lighted Tree with Reindeer in the Woods Scene Christmas Decoration",$55.09,$45.59,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
114,"Northlight 13"" Lighted Gnome with Grey Hat and Red Heart Christmas Decoration",$16.49,$13.99,15%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
115,"Northlight 16"" LED Lighted Gingerbread House Christmas Decoration",$55.09,$45.59,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
116,"Northlight 13.25"" LED Lighted Star with Reindeer in the Woods Scene Christmas Decoration",$60.89,$50.39,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
117,"Mr. Christmas Animated Red Truck with Santa Animated Musical Christmas Decoration - 14""",$87.99,$59.99,32%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Mr. Christmas
118,Northlight 21.5-Inch White and Red Snowflake High Pile Fleece Plush Snowman Christmas Decoration,$94.24,$73.99,21%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
119,"Northlight Set of 2 Brown Deer Christmas Decorations 14""",$79.74,$63.99,20%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
120,"Northlight 22"" Gray, White and Black Sitting Gnome Christmas Decoration",$21.49,$18.99,12%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
121,"Northlight 11.5"" Tiny Gray Faux Fur Santa Gnome with Red Hat and Striped Arms on a Stick Christmas Decoration",$15.49,$12.99,16%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
122,"Northlight 13"" Gingerbread Candy House Christmas Decoration",$57.99,$47.99,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
123,Northlight 14 Red Grey and White Gnome Wearing Red Hat with White Heart Christmas Decoration,$27.54,$22.79,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
124,Northlight 14.5” Gray and Red Sitting Dog with Plaid Collar Christmas Decoration,$28.99,$23.99,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
125,"Northlight 30-Inch Black and White ""JOY"" Gnome Plush Tabletop Christmas Decoration",$39.14,$32.39,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
126,Northlight 16 Gray and Black Lighted Star Gnome with Palm Leaves Christmas Decoration,$21.49,$18.99,12%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
127,Mr. Christmas Mini Nostalgic Ceramic LED Christmas Decoration Figurine,$27.99,$19.99,29%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Mr. Christmas
128,"Northlight 9.5"" Red and Gold Waving Santa Sitting In a Sleigh Christmas Decoration",$62.99,$53.99,14%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
129,"Northlight 15"" Snowman with Lollipop Christmas Decoration",$43.49,$35.99,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
130,"Northlight Set of 3 Lighted Snowman Family Outdoor Christmas Decoration 39.5""",$217.99,$189.99,13%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
131,"Northlight 12"" Red and White Nordic Gnome with Pink and Grey Fur Trapper Hat Christmas Decoration",$42.04,$34.79,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
132,Mr. Christmas Musical LED Santa's Christmas Crane Animated Christmas Decoration,$131.99,$79.99,39%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Mr. Christmas
133,"Northlight 22"" Standing Beige and Gold Swaying Gnome Christmas Decoration",$43.49,$35.99,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
134,Northlight 26-Inch Plush Red and White Standing Llama Table Top Christmas Decoration,$52.19,$43.19,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
135,"Northlight 8"" Brown and White Big Nose Gnome Santa Christmas Decor",$21.49,$18.99,12%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
136,"Northlight 18"" Layered Bronze Tree with Wood Base Christmas Decoration",$54.99,$46.79,15%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
137,Mr. Christmas Animated LED Winter Wonderland Christmas Eve Express Musical Christmas Decoration,$186.99,$129.99,30%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Mr. Christmas
138,"Northlight 17"" Mauve Battery Operated Lighted Gnome Christmas Decoration",$18.49,$15.99,14%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
139,"Northlight 11.5"" Black and White Plush Standing Bulldog with Red Hat Christmas Decoration",$57.99,$47.99,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
140,"Northlight 18"" Gray and White Bouncy Gnome Tabletop Figure Christmas Decoration",$33.34,$27.59,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
141,"Northlight 27"" Red and Green Standing Gnome Tabletop Christmas Decoration with Gift Bag",$43.49,$35.99,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
142,"Northlight 25"" Red, Green, and White Sitting Tabletop Female Gnome Christmas Decoration",$33.99,$29.99,12%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
143,Northlight 10-Inch Gray Checkered Moose Tabletop Christmas Decoration,$30.44,$25.19,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
144,Mr. Christmas Animated LED Cycling Gnome Musical Christmas Decoration,$59.99,$29.99,50%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Mr. Christmas
145,"Northlight 21.5"" Red and White Gnome Head with Hat Table Top Christmas Decoration",$22.49,$19.99,11%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
146,"Northlight 15.5"" Glittered Brown Standing Christmas Decoration",$74.99,$61.99,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
147,"Northlight 22"" Grey and Red Gnome with Tall Bendable Hat Christmas Decoration",$27.54,$22.79,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
148,Mr. Christmas Animated LED Motorcycling Santa Musical Christmas Decoration,$186.99,$129.99,30%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Mr. Christmas
149,"Northlight 12"" Elf Silver and Gold Sequin Hat Tabletop Christmas Decoration",$16.49,$13.99,15%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
150,"Mr. Christmas 23"" Animated LED Cycling Santa Musical Christmas Decoration",$164.99,$119.99,27%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Mr. Christmas
151,"Northlight 24"" Gnome with Rainbow and Silver Flip Sequin Hat Christmas Decoration",$33.34,$27.59,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
152,"Northlight 20.5"" Green and Brown Pine Needle Tree Christmas Decoration",$36.99,$31.19,16%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
153,"Northlight 16.75"" Green Metal Tree in Chunky Wood Base Christmas Decor",$50.74,$41.99,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
154,"Northlight 25"" White and Gray Standing Gnome Tabletop Christmas Decoration",$43.49,$35.99,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
155,"Northlight 18"" Gnome with Red and Black Flip Sequin Hat Christmas Decoration",$36.24,$29.99,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
156,"Northlight 17"" Gray and Beige Standing Gnome Tabletop Christmas Decoration",$33.34,$27.59,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
157,"Northlight 17"" LED Lighted Wooden Sled with Snowman and Cardinal Christmas Decoration",$84.09,$66.99,20%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
158,"Northlight 20"" White and Pink Bouncy Gnome Standing Figure Christmas Decoration",$43.49,$35.99,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
159,"Northlight 17"" Red and White Nordic Girl with Moose Antler Hat Christmas Decoration",$52.19,$43.19,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
